Year,Month,Day,Time,Lat,Lon,Depth,Mag,Region,Timestamp
2010,2,6,02:06:38,17.2192,92.6191,0.0,3.5,BAY OF BENGAL,1265421998
2010,1,15,13:38:42,21.6904,91.9018,35.0,3.8,BAY OF BENGAL,1263562722
2009,12,13,14:41:57,22.0182,91.7738,25.5,4.9,BANGLADESH,1260715317
2009,12,13,14:24:58,22.0378,91.7915,10.0,4.6,BANGLADESH,1260714298
2009,12,11,16:22:17,21.0421,92.4124,35.0,4.1,MYANMAR-BANGLADESH BORDER REGION,1260548537
2009,11,19,08:03:11,25.8479,90.9356,35.0,3.7,INDIA-BANGLADESH BORDER REGION,1258617791
2009,9,23,02:01:20,26.581,88.9575,35.0,3.4,INDIA-BANGLADESH BORDER REGION,1253671280
2009,8,3,18:51:52,22.7116,92.4482,25.0,3.9,INDIA-BANGLADESH BORDER REGION,1249325512
2009,7,13,07:39:09,26.2701,89.5271,31.8,3.3,INDIA-BANGLADESH BORDER REGION,1247470749
2009,7,6,23:23:19,25.8258,90.3031,32.0,3.7,INDIA-BANGLADESH BORDER REGION,1246922599
2009,7,2,15:53:25,22.6986,91.7535,0.0,4.0,BANGLADESH,1246550005
2009,6,29,12:13:32,21.1435,92.4724,0.0,3.7,MYANMAR-BANGLADESH BORDER REGION,1246277612
2009,6,26,12:51:52,23.4371,90.5739,35.0,3.7,BANGLADESH,1246020712
2009,6,1,01:40:46,26.41,89.8004,10.0,3.6,INDIA-BANGLADESH BORDER REGION,1243820446
2009,4,19,06:33:25,25.5917,91.4965,28.0,3.9,INDIA-BANGLADESH BORDER REGION,1240122805
2009,4,14,16:56:46,21.5421,91.6587,10.0,3.8,BAY OF BENGAL,1239728206
2009,4,10,15:34:38,25.9479,90.9891,35.0,3.7,INDIA-BANGLADESH BORDER REGION,1239377678
2009,3,13,13:46:45,26.6025,89.8478,92.9,4.7,INDIA-BANGLADESH BORDER REGION,1236952005
2009,2,27,10:42:38,20.464,89.0911,10.0,4.8,BAY OF BENGAL,1235731358
2009,2,25,23:51:35,23.2301,92.7169,40.9,4.5,INDIA-BANGLADESH BORDER REGION,1235605895
2009,2,15,19:35:56,25.8465,90.1915,14.0,4.2,INDIA-BANGLADESH BORDER REGION,1234726556
2009,2,8,22:58:41,24.0668,91.5132,30.0,3.6,INDIA-BANGLADESH BORDER REGION,1234133921
2009,1,31,10:54:00,25.6924,90.7836,1.6,3.8,INDIA-BANGLADESH BORDER REGION,1233399240
2009,1,29,00:35:01,23.8094,88.2484,35.0,3.3,INDIA-BANGLADESH BORDER REGION,1233189301
2009,1,8,04:22:43,17.184,86.758,33.0,3.2,BAY OF BENGAL,1231388563
2009,1,6,16:03:28,24.2101,89.7447,35.0,3.4,BANGLADESH,1231257808
2009,1,5,07:04:09,22.9286,88.6208,35.0,4.2,INDIA-BANGLADESH BORDER REGION,1231139049
2009,1,1,16:37:20,24.9175,92.0024,35.0,3.3,INDIA-BANGLADESH BORDER REGION,1230827840
